Age,Flight distance,Inflight Wi-Fi service,Convenient arrival/departure time,Ease of online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Check-in service,Inflight service,Cleanliness,Departure delay in minutes,Gender,Customer type,Type of travel,Eco,Eco plus,Satisfied
41,624,2,3,2,4,5,2,5,5,4,3,3,1,4,5,0,1,1,0,1,0,0
22,1846,4,5,4,4,5,4,5,5,5,4,4,4,4,5,40,1,0,1,1,0,0
53,192,5,2,2,2,3,4,2,5,5,5,5,2,5,4,0,0,0,0,1,0,1
12,674,3,4,3,1,1,3,1,1,3,3,5,4,4,1,80,1,0,1,1,0,0
39,370,3,3,3,3,2,4,5,4,4,4,4,4,4,5,10,0,0,0,0,0,1
55,3169,1,1,1,1,3,5,4,5,5,5,5,3,5,5,73,0,0,0,0,0,1
32,802,4,4,4,2,2,4,4,2,4,2,4,3,5,2,0,0,1,0,0,0,0
40,628,1,4,1,3,5,1,5,5,3,2,5,5,4,5,4,0,0,1,1,0,0
42,373,3,3,3,5,4,3,4,4,3,2,5,5,5,4,0,0,1,0,0,0,0
24,725,4,4,4,2,2,4,2,2,4,2,3,1,5,2,0,1,1,0,1,0,1
22,277,3,3,3,3,3,3,3,1,5,4,3,3,2,3,116,1,0,0,0,0,0
28,1024,1,1,1,1,4,4,4,4,5,3,5,5,4,4,0,0,0,0,0,0,1
36,267,2,3,3,3,2,2,2,2,1,1,3,4,4,2,59,0,0,0,0,1,0
62,550,5,1,1,1,4,2,1,5,5,5,5,5,5,2,92,0,0,0,1,0,1
60,1889,2,2,3,2,3,5,4,5,5,5,5,5,5,3,0,0,0,0,0,0,1
59,460,2,5,2,5,3,3,4,5,5,2,4,1,5,2,4,0,0,1,1,0,0
49,3295,4,4,3,4,2,5,4,5,5,5,5,5,5,3,0,0,0,0,0,0,1
44,1205,2,4,2,3,4,4,3,4,4,2,4,2,4,2,0,0,0,1,1,0,0
58,990,3,5,2,3,3,4,5,1,1,2,1,5,1,3,0,0,0,1,0,1,0
24,444,4,0,4,2,2,4,2,2,5,3,5,3,5,2,20,1,1,0,0,0,1
53,520,4,2,2,2,3,3,4,4,4,4,4,3,4,3,17,0,0,0,1,0,1
56,321,2,3,4,3,2,2,2,2,2,5,3,3,3,2,0,1,0,0,1,0,0
30,651,3,3,4,3,5,5,5,5,4,5,4,3,5,5,0,0,0,0,0,0,1
27,764,3,3,3,2,2,3,2,2,2,1,3,3,2,2,30,1,1,0,0,0,0
27,566,3,3,3,3,5,5,5,5,4,3,1,1,1,5,0,1,0,0,0,0,1
67,626,3,4,3,1,2,4,5,3,3,3,3,3,3,5,0,0,0,1,1,0,0
32,130,3,0,3,3,4,3,5,4,2,2,4,5,3,4,3,0,0,1,1,0,0
36,331,2,0,2,1,1,2,1,1,4,3,4,1,3,1,0,1,1,0,1,0,0
44,158,3,3,3,3,5,4,5,4,4,5,4,4,4,5,66,1,0,0,0,0,1
70,1829,1,4,1,1,2,5,5,5,5,1,5,4,5,3,0,0,0,1,1,0,0
55,646,3,2,3,4,4,3,4,5,5,3,5,4,5,3,0,0,0,1,1,0,0
66,404,4,1,1,1,4,4,4,4,3,1,3,2,5,4,9,1,0,0,1,0,1
19,2738,5,5,5,5,3,4,3,3,5,3,3,1,2,3,0,0,0,0,0,0,1
53,964,1,5,1,2,4,4,5,4,4,1,4,5,4,4,6,0,0,1,0,1,0
22,1660,2,2,2,2,2,2,2,2,4,3,2,2,4,2,0,1,0,0,0,0,0
69,872,2,3,2,2,4,2,3,5,5,2,5,3,5,3,14,0,0,1,1,0,0
42,1898,5,5,5,5,5,4,4,5,5,5,5,4,5,3,49,0,0,0,0,0,1
41,967,2,2,2,2,2,3,5,4,4,4,4,5,4,5,44,0,0,0,0,0,1
53,1242,3,4,3,5,3,3,5,1,1,3,1,4,1,4,3,0,0,1,0,0,0
35,1042,3,2,2,2,2,4,3,3,3,3,3,3,3,2,0,1,0,0,0,0,0
54,153,3,5,3,5,2,4,5,2,2,3,2,4,2,5,0,0,0,1,0,0,0
44,366,3,3,2,3,2,5,4,4,4,4,4,3,4,4,5,1,0,0,0,0,1
26,913,1,2,2,2,4,2,3,4,3,2,1,1,4,4,0,0,1,0,0,1,0
44,528,2,5,2,3,2,5,4,5,5,2,5,3,5,3,0,0,0,1,1,0,0
24,1172,2,3,3,2,5,3,5,5,4,5,5,4,5,5,28,0,1,0,1,0,0
54,999,2,4,2,4,4,5,5,5,5,2,5,5,5,4,0,0,0,1,1,0,0
42,489,2,2,2,2,2,2,2,2,4,3,3,1,2,2,0,1,0,0,0,1,0
36,692,1,1,1,4,1,1,1,1,1,5,3,1,2,1,0,1,1,0,1,0,0
61,1585,2,2,3,2,1,1,5,3,3,4,3,4,3,4,24,0,0,0,0,0,1
50,140,2,4,2,4,4,4,5,2,2,2,2,3,2,5,0,0,0,1,1,0,0
27,2729,3,3,3,3,5,5,5,5,4,4,4,5,2,5,44,1,0,0,0,0,1
55,1400,3,5,5,5,4,3,2,3,3,3,3,1,3,4,1,1,0,0,0,0,0
21,447,2,2,1,4,1,1,1,1,4,4,3,4,3,1,7,1,1,0,1,0,0
31,334,2,1,2,4,5,2,5,5,2,4,3,2,4,5,5,0,0,1,0,0,0
37,158,1,2,1,3,1,1,1,1,1,4,3,4,3,1,24,0,1,0,1,0,0
50,3696,1,1,5,1,2,4,4,5,5,5,5,4,5,5,9,0,0,0,0,0,1
21,846,1,4,1,3,3,1,3,3,5,4,5,4,5,3,9,0,0,1,1,0,0
53,329,1,0,0,3,1,3,3,4,4,1,4,4,4,1,0,0,0,0,1,0,0
45,2580,3,3,3,3,3,4,4,5,5,5,5,3,5,4,0,1,0,0,0,0,1
42,84,3,5,3,1,5,3,5,5,5,5,3,5,4,5,0,0,1,0,1,0,0
59,3358,3,3,3,3,3,5,4,4,4,4,4,4,4,3,0,1,0,0,0,0,1
54,308,2,1,4,4,5,3,3,2,2,2,2,4,2,1,83,0,0,0,1,0,0
46,912,1,1,1,1,2,4,4,4,4,4,4,5,4,4,5,0,0,0,0,0,1
52,406,3,4,3,1,2,5,4,2,2,3,2,3,2,4,0,0,0,1,0,1,0
38,397,2,5,2,2,5,2,5,5,5,4,4,5,5,5,0,0,0,1,1,0,0
35,2409,3,3,3,3,1,4,3,4,4,4,4,3,4,3,0,1,0,0,0,0,1
41,545,2,2,2,3,4,2,4,4,1,3,4,1,4,4,0,0,0,1,1,0,0
40,2419,2,2,2,3,4,2,4,4,3,2,3,3,5,4,0,0,1,0,0,0,0
36,1061,2,2,2,1,4,2,4,4,1,4,2,4,2,4,13,0,1,0,1,0,0
67,899,2,5,2,2,2,2,2,2,5,2,4,5,5,2,0,1,0,1,1,0,0
38,293,4,4,4,4,5,4,5,5,2,2,4,4,4,5,5,0,0,1,1,0,1
50,1085,3,5,3,2,5,5,5,5,5,3,5,3,5,4,0,0,0,1,1,0,0
50,2475,5,5,5,5,2,5,4,2,2,2,2,3,2,5,0,1,0,0,0,0,1
54,2544,5,5,3,5,5,4,5,3,3,3,3,4,3,5,62,1,0,0,0,0,1
56,2556,4,4,4,4,4,5,4,4,4,4,4,3,4,5,117,1,0,0,0,0,1
38,237,3,4,3,4,2,3,2,2,3,3,4,4,3,2,0,1,0,1,1,0,0
7,1120,3,5,3,3,2,3,2,2,4,4,4,5,5,2,16,0,0,1,1,0,0
32,2668,5,5,4,5,4,4,4,4,5,2,5,5,5,4,2,0,0,0,0,0,1
45,1660,4,1,1,1,4,4,4,4,2,5,2,4,3,4,0,1,0,0,1,0,0
25,1310,2,2,2,4,3,2,3,3,1,4,3,1,4,3,0,1,1,0,1,0,0
45,2374,5,5,5,5,4,5,4,4,4,4,4,5,4,5,0,0,0,0,0,0,1
34,209,3,4,0,1,1,0,1,1,1,5,5,2,3,1,0,1,0,1,1,0,0
20,305,3,4,3,3,1,3,1,1,3,3,4,4,5,1,5,1,0,1,0,1,0
36,247,2,1,2,3,1,2,1,1,4,1,3,1,2,1,16,0,1,0,1,0,0
36,338,3,4,3,4,2,3,2,2,3,4,3,1,3,2,0,1,1,0,1,0,0
27,3200,1,1,1,1,5,5,5,5,4,5,2,2,1,5,0,1,0,0,0,0,1
40,1368,3,4,2,4,3,2,3,3,4,2,3,3,4,3,0,1,0,1,1,0,0
31,1999,4,5,4,4,5,5,5,5,4,4,4,3,4,5,0,1,0,0,0,0,1
25,680,0,5,0,2,1,0,1,1,3,1,4,5,5,1,0,1,0,0,0,1,1
42,537,2,2,2,2,1,5,3,5,5,5,5,4,5,3,0,1,0,0,0,0,1
45,288,5,1,1,1,1,2,3,5,5,5,5,1,5,3,29,0,0,0,1,0,1
59,639,2,1,2,3,4,3,3,3,3,2,3,2,3,1,0,1,0,1,0,0,0
34,201,3,5,3,3,2,3,5,2,5,2,1,3,1,2,3,1,0,1,1,0,0
22,213,3,5,3,4,3,3,1,3,1,5,1,3,2,3,0,0,0,1,1,0,0
21,1096,2,2,2,4,2,2,3,2,3,1,3,2,4,2,0,1,0,1,1,0,0
26,1680,3,1,1,1,3,3,3,3,1,2,4,2,3,3,27,1,0,0,0,0,0
37,2401,2,2,2,2,5,3,1,4,4,4,4,1,4,5,94,1,0,0,0,0,1
38,2746,2,2,2,2,2,5,2,4,4,4,4,1,4,5,0,1,0,0,0,0,1
17,89,3,4,3,1,5,3,3,5,3,4,5,5,5,5,0,0,0,1,1,0,0
15,192,2,4,2,3,5,2,5,5,5,4,5,5,5,5,5,1,0,1,0,1,0
53,404,3,3,3,4,4,4,4,5,5,3,5,1,5,2,0,0,0,1,1,0,0
39,546,4,4,4,4,2,4,2,2,3,5,5,3,4,2,93,1,1,0,0,0,0
40,2400,4,3,4,4,2,4,5,5,5,5,5,3,5,3,0,1,0,0,0,0,1
28,599,2,2,2,3,4,2,4,4,3,3,3,1,3,4,0,0,1,0,0,1,0
27,2342,3,3,3,4,2,3,2,2,4,3,5,3,5,2,10,0,1,0,0,0,0
41,3046,5,5,5,5,3,5,5,4,4,4,4,4,4,5,0,0,0,0,0,0,1
7,516,2,4,2,3,5,2,5,5,5,4,5,5,4,5,0,0,0,1,1,0,0
48,759,3,3,3,2,2,3,2,2,4,2,5,4,5,2,2,1,1,0,0,0,0
13,1400,2,1,1,1,2,1,2,2,4,3,3,3,4,2,0,1,0,0,1,0,0
48,491,3,3,3,3,4,4,4,4,4,4,4,3,4,5,0,0,0,0,0,0,1
49,134,3,3,3,3,5,3,3,4,4,3,4,1,4,4,8,0,0,1,1,0,0
26,900,5,5,5,3,1,5,1,1,4,3,5,5,5,1,5,1,1,0,0,0,1
22,3648,2,2,2,2,3,3,3,3,2,4,3,5,3,3,0,1,0,0,0,0,1
53,3769,3,1,5,1,1,3,1,2,4,3,4,1,2,1,180,0,0,0,0,0,0
43,563,4,4,4,4,3,5,5,4,4,4,4,5,4,5,0,0,0,0,1,0,1
56,3131,1,1,1,1,2,5,4,4,4,4,5,4,4,5,0,1,0,0,0,0,1
69,631,3,5,2,5,3,3,4,5,5,2,5,1,5,1,0,0,0,1,1,0,0
59,351,4,3,4,4,1,4,1,1,1,5,4,2,4,1,0,1,0,1,1,0,1
56,1189,5,5,3,5,5,4,5,2,2,2,2,4,2,3,9,0,0,0,0,0,1
11,562,5,5,5,5,3,5,3,3,4,4,5,1,2,3,0,1,0,1,1,0,1
25,1874,4,3,3,3,4,4,3,4,3,1,4,5,1,4,86,0,0,0,1,0,1
29,158,4,0,4,1,2,4,2,2,1,5,2,2,2,2,0,0,1,0,1,0,1
48,95,5,3,3,3,1,2,1,5,5,5,5,1,5,2,0,0,0,0,1,0,1
42,266,1,1,1,1,4,3,4,4,4,4,4,2,4,1,0,0,0,0,0,0,1
15,449,1,4,1,2,3,1,4,3,1,3,5,4,5,3,0,1,1,0,1,0,0
49,1416,3,4,4,2,2,3,2,2,4,2,5,5,4,2,0,0,1,0,0,0,0
41,2388,2,2,2,2,5,5,4,4,4,4,4,5,4,5,29,1,0,0,0,0,1
43,1678,1,1,2,1,3,4,4,2,2,2,2,4,2,5,0,1,0,0,0,0,1
60,1972,5,5,2,5,4,3,5,5,5,5,5,5,5,3,0,1,0,0,0,0,1
42,337,4,1,4,3,3,3,3,3,3,4,1,2,3,2,0,0,0,1,1,0,1
8,253,3,3,3,1,4,3,4,4,5,5,2,4,3,4,0,0,0,1,1,0,0
42,212,5,3,3,3,5,3,5,5,5,5,5,5,5,2,82,0,0,0,1,0,1
18,342,1,1,1,3,3,1,3,3,2,1,4,1,3,3,32,1,1,0,0,1,0
47,3556,2,2,2,2,3,5,3,5,5,5,5,3,5,4,0,1,0,0,0,0,1
27,191,4,4,4,4,5,4,5,5,2,1,3,2,3,5,16,0,1,0,1,0,0
67,693,3,1,3,1,5,1,2,1,1,3,1,1,1,4,100,0,0,1,0,1,0
38,641,5,5,5,3,2,5,2,2,5,5,4,3,5,2,0,1,1,0,0,0,1
20,471,4,5,4,4,3,4,3,3,4,3,4,5,4,3,0,0,1,0,1,0,0
60,3823,2,2,1,2,4,4,4,5,5,4,5,3,5,3,1,0,0,0,0,0,1
23,282,4,5,4,1,4,4,4,4,3,3,5,3,4,4,9,1,1,0,0,0,1
25,544,3,5,3,1,2,3,2,2,4,2,5,4,4,2,0,1,1,0,0,0,0
38,2955,3,3,3,3,3,5,5,4,4,4,4,3,4,3,0,0,0,0,0,0,1
40,2806,1,1,1,1,3,1,5,5,5,5,5,5,5,5,0,0,0,0,0,0,1
19,587,3,4,3,5,1,3,1,1,5,3,5,4,4,1,0,1,0,1,1,0,0
61,2073,3,3,3,3,4,5,4,4,4,4,4,4,4,5,6,0,0,0,0,0,1
44,1249,3,4,3,3,5,3,5,5,5,2,3,4,4,5,25,1,0,1,1,0,0
22,284,3,5,3,1,3,3,3,3,4,5,5,3,5,3,34,0,0,1,1,0,0
8,946,2,2,2,2,3,2,3,3,1,5,3,4,3,3,2,0,1,0,1,0,0
45,3947,3,4,4,4,3,4,4,3,3,3,3,4,3,3,25,0,0,0,0,0,0
46,895,4,5,4,1,1,4,1,1,2,1,3,3,5,1,40,1,0,1,1,0,1
54,1634,3,2,5,2,4,4,4,3,3,3,3,3,3,1,90,0,0,0,0,0,0
62,588,2,1,1,2,1,1,1,1,1,4,3,2,3,1,0,1,0,1,1,0,0
25,2533,5,5,5,5,2,2,2,2,5,1,2,1,3,2,0,0,0,0,0,0,1
32,641,3,4,3,2,2,3,2,2,4,5,4,5,4,2,0,0,0,1,1,0,0
65,581,4,4,4,2,4,4,4,1,1,4,1,4,1,5,1,0,0,1,1,0,0
40,223,2,2,2,4,2,2,2,2,4,4,4,3,5,2,0,1,1,0,0,0,0
30,326,0,0,0,5,2,0,2,2,4,1,3,4,5,2,0,0,0,0,0,1,1
67,599,3,1,3,2,1,1,2,3,3,3,3,2,3,1,0,0,0,1,1,0,0
51,2075,5,5,5,5,2,5,5,5,5,5,5,3,5,3,0,1,0,0,0,0,1
47,964,5,5,4,5,5,4,5,5,5,5,5,4,5,3,1,0,0,0,0,0,1
38,599,1,4,4,4,1,1,1,1,2,3,3,3,3,1,8,0,0,0,1,0,0
54,3138,1,1,1,1,5,5,4,4,4,4,4,3,4,4,0,1,0,0,0,0,1
57,251,1,5,0,5,3,2,3,1,1,0,3,5,1,3,0,0,0,1,1,0,0
13,1119,1,5,1,3,2,1,2,2,3,4,4,5,5,2,0,1,0,1,1,0,0
20,337,4,0,4,3,4,4,4,4,3,5,4,4,5,4,0,0,1,0,1,0,1
45,759,2,2,2,2,2,2,1,2,2,2,2,3,2,4,23,0,0,0,0,0,0
51,2344,2,2,2,2,3,4,5,3,3,3,3,3,3,3,0,0,0,0,0,0,1
25,296,0,0,0,3,2,0,2,2,4,4,4,5,5,2,0,1,1,0,0,0,1
39,1005,1,4,2,3,2,1,5,5,2,4,5,5,4,5,168,0,0,1,1,0,0
46,580,3,3,3,3,3,5,4,4,4,4,4,3,4,5,18,0,0,0,0,0,1
53,359,1,3,3,3,1,1,1,1,1,2,3,4,4,1,0,1,0,0,1,0,0
61,1217,0,4,0,1,5,5,5,4,4,0,4,4,4,4,0,0,0,1,1,0,1
61,384,4,5,5,5,3,3,2,4,4,4,4,3,4,5,96,0,0,0,0,1,1
16,2586,3,5,3,4,4,3,4,4,5,2,4,5,4,4,45,1,0,1,1,0,0
44,2903,2,1,1,1,2,3,3,2,2,2,2,3,2,1,0,0,0,0,0,0,0
17,3170,5,5,5,5,5,5,5,5,1,3,3,1,5,5,16,0,0,0,0,0,1
50,1276,2,2,2,2,4,2,3,2,2,2,2,1,2,1,35,0,0,0,1,0,0
40,825,4,4,4,3,5,4,5,5,5,3,4,3,5,5,0,0,1,0,0,0,1
47,2204,5,5,5,5,4,4,4,2,2,2,2,4,2,3,6,1,0,0,0,0,1
80,3464,1,1,1,1,2,4,4,4,4,4,4,5,4,4,0,0,0,0,0,0,1
38,562,5,3,5,3,4,5,4,4,1,1,3,4,3,4,0,0,0,1,1,0,1
31,404,5,1,5,3,3,5,3,3,4,2,4,4,4,3,0,1,0,1,1,0,1
59,1199,4,2,2,2,5,4,4,4,4,4,4,3,4,1,0,1,0,0,0,0,0
22,1968,4,4,4,4,4,4,4,4,1,2,3,4,4,4,0,0,0,0,0,0,0
53,2560,5,5,5,5,5,4,5,3,3,3,3,3,3,3,0,0,0,0,0,0,1
56,308,4,2,2,2,5,3,4,4,4,4,4,5,4,2,0,0,0,0,0,1,1
48,362,4,4,5,3,2,4,5,3,3,5,3,5,3,4,0,0,0,1,1,0,0
38,1562,3,3,3,5,2,3,2,2,5,2,5,3,4,2,2,1,1,0,0,0,0
64,129,1,0,1,2,1,1,1,1,3,2,5,4,4,1,13,1,0,1,1,0,0
67,591,2,4,2,3,5,2,3,5,4,4,4,3,5,5,0,1,0,1,1,0,0
62,3692,2,2,4,2,3,4,2,4,4,4,4,1,4,2,0,0,0,0,0,0,1
57,1859,1,1,1,1,2,5,5,4,4,4,4,5,4,5,16,1,0,0,0,0,1
27,986,2,1,1,3,1,2,1,1,1,5,1,1,3,1,24,0,1,0,1,0,0
25,1024,1,1,1,3,5,1,5,5,1,4,4,1,4,5,13,0,1,0,1,0,0
52,919,3,4,4,4,3,2,2,3,3,3,3,1,3,1,85,0,0,0,1,0,0
45,576,4,2,2,2,3,1,3,4,4,4,4,5,4,2,0,0,0,0,0,1,1
23,423,3,3,3,3,1,3,1,1,2,2,3,3,3,1,6,0,1,0,1,0,0
55,1416,5,2,2,2,5,5,5,5,4,3,5,2,5,5,1,1,0,0,1,0,1
53,1464,3,2,2,2,5,4,4,3,3,3,3,3,3,3,0,1,0,0,0,0,0
9,715,4,4,4,3,1,4,1,1,5,4,4,4,4,1,11,0,0,1,1,0,1
33,541,2,2,3,2,4,4,4,4,5,2,5,3,4,4,86,1,0,0,0,0,1
64,293,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,1,1,0,0,0,0
8,2092,2,3,3,3,4,2,4,4,4,3,3,3,3,4,26,0,1,0,1,0,0
34,1053,4,4,4,1,3,4,3,3,3,2,5,3,5,3,34,1,0,1,1,0,0
59,2521,1,1,1,3,1,3,5,2,3,3,2,5,2,5,0,1,0,1,1,0,0
13,2544,3,1,3,3,3,3,3,3,4,3,4,3,3,3,0,0,0,0,0,0,0
44,158,4,4,4,2,2,4,2,2,2,5,1,4,5,2,0,1,0,1,1,0,0
54,1741,1,1,1,1,4,4,5,4,4,4,4,4,4,3,0,1,0,0,0,0,1
36,2651,4,4,4,4,3,4,4,5,5,5,5,5,5,3,10,1,0,0,0,0,1
11,760,3,5,3,1,5,3,5,5,3,5,5,4,4,5,102,0,0,1,1,0,0
32,1036,1,5,1,2,5,1,5,5,5,5,5,5,4,5,12,0,0,1,1,0,0
42,2586,1,3,3,3,1,1,1,3,5,2,3,1,4,1,0,1,0,0,1,0,0
27,1081,1,1,1,4,2,1,2,2,1,5,3,3,1,2,4,0,1,0,1,0,0
33,646,2,4,2,3,3,2,3,3,4,1,3,2,5,3,1,1,0,1,1,0,0
28,308,1,3,3,3,1,1,1,1,3,3,3,3,3,1,0,0,0,0,0,0,0
44,227,4,5,0,1,2,0,2,2,3,4,4,5,5,2,0,1,0,1,1,0,1
49,1754,3,3,3,3,4,3,5,4,1,4,3,4,4,4,33,1,1,0,1,0,0
59,2176,2,3,2,2,3,5,2,5,5,5,5,4,5,4,5,1,0,0,0,0,1
20,271,0,0,0,1,1,0,1,1,5,4,4,4,4,1,0,1,1,0,0,0,1
46,1522,3,2,3,3,3,5,4,4,4,4,4,3,4,5,0,0,0,0,0,0,1
36,325,5,5,5,5,5,5,5,5,1,5,3,1,3,5,0,1,0,0,1,0,1
62,3217,2,2,2,2,5,4,4,4,4,4,4,4,4,5,19,0,0,0,0,0,1
59,1491,3,3,3,3,2,4,4,3,3,2,3,4,3,3,15,1,0,0,0,0,1
29,331,3,4,3,4,3,3,3,3,5,4,2,2,4,3,0,0,0,1,1,0,0
41,371,2,2,2,1,1,2,1,1,4,4,2,1,1,1,35,0,1,0,0,0,0
7,727,1,5,1,3,4,1,4,4,4,1,1,5,4,4,0,1,0,1,1,0,0
65,1249,3,5,3,2,4,4,4,3,3,3,3,4,3,5,40,0,0,1,0,0,0
50,2614,2,2,2,2,5,4,4,2,4,4,2,4,2,4,0,1,0,0,0,0,1
20,951,2,3,3,3,2,2,4,2,3,5,3,1,4,2,57,0,0,0,1,0,0
58,2498,3,3,3,3,4,4,4,5,5,5,5,4,5,3,0,0,0,0,0,0,1
45,545,2,5,2,2,4,1,1,2,2,2,4,4,2,3,14,0,0,1,0,1,0
46,1838,1,5,1,3,5,1,5,5,3,2,5,4,5,5,0,1,0,1,0,1,0
43,3724,3,3,3,3,4,4,5,5,5,5,5,4,5,3,19,0,0,0,0,0,1
26,280,2,2,2,2,2,2,2,2,2,3,2,2,3,2,0,1,1,0,0,0,0
41,641,5,1,1,1,5,5,5,5,3,4,3,5,5,5,0,1,0,0,0,1,1
50,488,3,5,3,1,3,4,5,5,5,3,5,5,5,3,0,0,0,1,1,0,0
38,1237,3,4,3,1,4,3,4,5,5,3,5,5,5,5,6,1,0,1,0,0,0
38,1062,1,1,1,2,3,1,3,3,4,1,4,5,3,3,0,0,1,0,1,0,0
55,2699,2,2,2,2,2,5,4,3,3,3,3,4,3,4,0,0,0,0,0,0,1
49,679,1,1,1,1,2,5,4,4,4,4,4,2,4,1,51,0,0,0,0,0,1
33,423,4,4,4,3,4,4,4,4,3,2,4,5,5,4,0,1,1,0,0,0,0
57,4817,4,4,4,4,5,5,5,3,3,4,4,5,4,5,0,0,0,0,0,0,1
35,3833,3,3,3,3,3,2,3,5,5,5,5,4,5,4,0,0,0,0,0,0,1
40,2559,5,5,5,5,3,5,5,4,4,4,4,3,4,3,0,0,0,0,0,0,1
37,373,4,4,4,4,3,4,3,3,4,4,1,1,1,3,0,0,1,0,0,1,0
52,2279,2,5,2,3,2,4,2,5,3,4,5,2,4,2,17,0,0,1,1,0,0
41,862,2,2,2,2,2,2,2,2,3,5,2,3,3,2,0,1,0,0,1,0,1
14,666,3,3,3,2,3,1,1,4,2,1,5,1,4,1,243,0,0,1,1,0,0
32,759,2,2,2,2,5,4,5,5,3,5,4,4,4,5,0,0,0,0,0,0,1
11,2338,2,4,2,3,2,1,1,3,2,4,5,1,4,1,152,1,0,1,1,0,0
12,946,1,3,1,5,2,1,2,2,1,3,2,2,3,2,0,1,0,1,1,0,0
41,772,4,3,3,3,4,4,4,4,2,1,4,4,3,4,0,1,0,0,1,0,1
45,1011,3,2,2,5,4,3,4,4,4,3,4,4,5,4,0,0,1,0,0,0,0
21,257,2,0,2,4,5,2,1,5,1,5,1,4,5,5,0,1,1,0,1,0,0
31,164,2,3,3,3,2,2,2,2,3,3,3,1,3,2,0,0,0,0,1,0,0
38,166,4,3,2,3,4,4,4,4,5,5,4,4,5,4,17,1,0,0,1,0,1
40,2280,4,4,4,4,3,5,5,5,5,5,5,4,5,5,19,1,0,0,0,0,1
13,590,5,4,5,2,5,5,5,5,4,4,4,4,4,5,0,1,0,1,1,0,1
44,1597,2,2,2,2,3,4,4,2,2,2,2,5,2,4,0,0,0,0,0,0,1
66,2264,3,5,4,5,5,4,4,3,3,3,3,2,3,4,0,0,0,0,0,0,0
30,814,5,5,5,5,5,5,5,5,3,2,1,2,3,5,0,0,0,0,0,1,1
44,1024,3,1,3,3,4,3,4,4,1,1,4,3,3,4,2,1,0,1,1,0,0
