fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.5,0.305,0.4,18.9,0.059,44,170,1,2.99,0.46,9,5
5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,5
7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6
7.3,0.34,0.21,3.2,0.05,14,136,0.9936,3.25,0.44,10.2,5
6.1,0.28,0.22,1.8,0.034,32,116,0.9898,3.36,0.44,12.6,6
6.3,0.26,0.24,7.2,0.039,38,172,0.9958,3.49,0.64,9.7,6
6.2,0.36,0.26,13.2,0.051,54,201,0.9976,3.25,0.46,9,5
6.4,0.22,0.56,14.5,0.055,27,159,0.998,2.98,0.4,9.1,5
6.3,0.27,0.46,11.75,0.037,61,212,0.9971,3.25,0.53,9.5,6
6,0.67,0.07,1.2,0.06,9,108,0.9931,3.11,0.35,8.7,4
6.6,0.24,0.29,2,0.023,19,86,0.99,3.25,0.45,12.5,6
6.8,0.34,0.69,1.3,0.058,12,171,0.9931,3.06,0.47,9.7,5
6,0.29,0.2,12.6,0.045,45,187,0.9972,3.33,0.42,9.5,5
6.2,0.12,0.34,1.5,0.045,43,117,0.9939,3.42,0.51,9,6
7,0.11,0.32,4.6,0.057,59,144,0.9956,3.55,0.44,9.4,7
6.2,0.28,0.33,1.7,0.029,24,111,0.99,3.24,0.5,12.1,6
7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,5
6.8,0.26,0.22,7.7,0.047,57,210,0.9959,3.1,0.47,9,5
5.6,0.16,0.27,1.4,0.044,53,168,0.9918,3.28,0.37,10.1,6
6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9,5
6.7,0.22,0.39,10.2,0.038,60,149,0.99725,3.17,0.54,10,7
6,0.38,0.26,6,0.034,42,134,0.9912,3.38,0.38,12.3,7
6.2,0.21,0.27,1.7,0.038,41,150,0.9933,3.49,0.71,10.5,7
8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7
7.1,0.3,0.46,1.5,0.066,29,133,0.9906,3.12,0.54,12.7,6
6,0.3,0.44,1.5,0.046,15,182,0.99455,3.5,0.52,10.4,5
5.9,0.25,0.25,11.3,0.052,30,165,0.997,3.24,0.44,9.5,6
6.8,0.57,0.29,2.2,0.04,15,77,0.9938,3.32,0.74,10.2,5
8,0.32,0.26,1.2,0.05,11.5,88,0.9946,3.24,0.37,9.5,4
7.8,0.18,0.31,12.2,0.053,46,140,0.998,3.06,0.53,8.9,6
5.4,0.31,0.47,3,0.053,46,144,0.9931,3.29,0.76,10,5
6.1,0.34,0.27,2.6,0.024,20,105,0.9906,3.4,0.67,12.2,7
6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9,5
6.6,0.58,0.3,5.1,0.057,30,123,0.9949,3.24,0.38,9,5
7.2,0.34,0.34,12.6,0.048,7,41,0.9942,3.19,0.4,11.7,5
7.4,0.21,0.27,1.2,0.041,27,99,0.9927,3.19,0.33,9.8,6
10.3,0.17,0.47,1.4,0.037,5,33,0.9939,2.89,0.28,9.6,3
8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7
6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,7
6.6,0.2,0.32,1.1,0.039,25,78,0.9926,3.39,0.54,10.2,7
6.1,0.41,0,1.6,0.063,36,87,0.9914,3.27,0.67,10.8,6
7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,7
7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,5
5.8,0.34,0.21,6.6,0.04,50,167,0.9941,3.29,0.62,10,5
6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8,4
7,0.25,0.32,9,0.046,56,245,0.9955,3.25,0.5,10.4,6
7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,5
6.9,0.19,0.35,1.7,0.036,33,101,0.99315,3.21,0.54,10.8,7
7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,6
7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7,5
6.7,0.21,0.42,9.1,0.049,31,150,0.9953,3.12,0.74,9.9,7
7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.54,10.4,6
6.7,0.31,0.31,9.9,0.04,10,175,0.9953,3.46,0.55,11.4,4
7.3,0.24,0.29,1.2,0.037,37,97,0.9926,3.19,0.7,10.1,6
6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4,5
7.5,0.23,0.68,11,0.047,37,133,0.9978,2.99,0.38,8.8,5
6,0.18,0.27,1.5,0.089,40,143,0.9923,3.49,0.62,10.8,6
7.8,0.28,0.34,1.6,0.028,32,118,0.9901,3,0.38,12.1,7
6.3,0.23,0.33,1.5,0.036,15,105,0.991,3.32,0.42,11.2,6
5.3,0.58,0.07,6.9,0.043,34,149,0.9944,3.34,0.57,9.7,5
8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5
7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,6
7,0.29,0.37,4.9,0.034,26,127,0.9928,3.17,0.44,10.8,6
7.5,0.21,0.68,10.9,0.045,38,133,0.9978,3,0.36,8.7,5
7.3,0.205,0.31,1.7,0.06,34,110,0.9963,3.72,0.69,10.5,6
7.7,0.15,0.29,1.3,0.029,10,64,0.9932,3.35,0.39,10.1,5
7.8,0.28,0.34,1.6,0.028,32,118,0.9901,3,0.38,12.1,7
7.4,0.34,0.42,1.1,0.033,17,171,0.9917,3.12,0.53,11.3,6
7.5,0.24,0.31,13,0.049,46,217,0.9985,3.08,0.53,8.8,5
6,0.18,0.31,1.4,0.036,14,75,0.99085,3.34,0.58,11.1,8
7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,5
8.1,0.28,0.39,1.9,0.029,18,79,0.9923,3.23,0.52,11.8,6
6.8,0.25,0.34,4.7,0.031,34,134,0.9927,3.21,0.38,10.6,6
6.5,0.28,0.27,5.2,0.04,44,179,0.9948,3.19,0.69,9.4,6
6.5,0.26,0.28,12.5,0.046,80,225,0.99685,3.18,0.41,10,6
6.2,0.37,0.3,6.6,0.346,79,200,0.9954,3.29,0.58,9.6,5
7.4,0.36,0.33,1.4,0.025,27,55,0.9915,3.21,0.33,11.2,6
8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5
7.3,0.32,0.25,7.2,0.056,47,180,0.9961,3.08,0.47,8.8,5
7.5,0.17,0.32,1.7,0.04,51,148,0.9916,3.21,0.44,11.5,7
5.9,0.26,0.3,1,0.036,38,114,0.9928,3.58,0.48,9.4,5
6.8,0.39,0.35,11.6,0.044,57,220,0.99775,3.07,0.53,9.3,5
6.9,0.25,0.4,1.3,0.038,22,101,0.9901,3.03,0.39,11.4,6
6.6,0.2,0.38,7.9,0.052,30,145,0.9947,3.32,0.56,11,7
5.8,0.26,0.18,1.2,0.031,40,114,0.9908,3.42,0.4,11,7
6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,5
7,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,7
7.6,0.22,0.34,9.7,0.035,26,143,0.9965,3.08,0.49,9.8,6
6.8,0.22,0.37,15.2,0.051,68,178,0.99935,3.4,0.85,9.3,6
6.7,0.23,0.39,2.5,0.172,63,158,0.9937,3.11,0.36,9.4,6
5.9,0.23,0.3,12.9,0.054,57,170,0.9972,3.28,0.39,9.4,5
7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6
8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,5
6.6,0.24,0.27,1.4,0.057,33,152,0.9934,3.22,0.56,9.5,6
8,0.23,0.37,9.6,0.054,23,159,0.99795,3.32,0.47,9.8,4
7.4,0.17,0.4,5.5,0.037,34,161,0.9935,3.05,0.62,11.5,4
7.7,0.34,0.27,8.8,0.063,39,184,0.9969,3.09,0.63,9.2,6
8.2,0.23,0.4,7.5,0.049,12,76,0.9966,3.06,0.84,9.7,6
6.6,0.21,0.31,11.4,0.039,46,165,0.99795,3.41,0.44,9.8,7
5.4,0.29,0.47,3,0.052,47,145,0.993,3.29,0.75,10,6
7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6
7.1,0.2,0.34,16,0.05,51,166,0.9985,3.21,0.6,9.2,6
6.4,0.45,0.07,1.1,0.03,10,131,0.9905,2.97,0.28,10.8,5
6.6,0.3,0.3,4.8,0.17,60,166,0.9946,3.18,0.47,9.4,5
5.9,0.13,0.28,1.9,0.05,20,78,0.9918,3.43,0.64,10.8,6
6.2,0.18,0.38,1.5,0.028,36,117,0.993,3.47,0.54,9.7,6
6.4,0.16,0.31,5.3,0.043,42,157,0.99455,3.35,0.47,10.5,5
5.6,0.35,0.14,5,0.046,48,198,0.9937,3.3,0.71,10.3,5
7.4,0.24,0.22,10.7,0.042,26,81,0.9954,2.86,0.36,9.7,6
7.4,0.28,0.3,5.3,0.054,44,161,0.9941,3.12,0.48,10.3,6
8.6,0.27,0.46,6.1,0.032,13,41,0.993,2.89,0.34,10.9,5
5.7,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,7
6.4,0.3,0.45,3.5,0.197,76,180,0.9942,3.02,0.39,9.1,6
6.8,0.22,0.35,17.5,0.039,38,153,0.9994,3.24,0.42,9,6
6.8,0.22,0.35,17.5,0.039,38,153,0.9994,3.24,0.42,9,6
5.9,0.46,0.14,2.7,0.042,27,160,0.9931,3.46,0.51,10.6,7
6.1,0.19,0.25,4,0.023,23,112,0.9923,3.37,0.51,11.6,6
6.3,0.26,0.49,1.5,0.052,34,134,0.9924,2.99,0.61,9.8,6
7.2,0.28,0.54,16.7,0.045,54,200,0.999,3.08,0.49,9.5,6
9.8,0.36,0.46,10.5,0.038,4,83,0.9956,2.89,0.3,10.1,4
7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9,7
7.5,0.34,0.35,6,0.034,12,126,0.9924,3.16,0.39,12,7
7.6,0.18,0.46,10.2,0.055,58,135,0.9968,3.14,0.43,9.9,6
7.2,0.24,0.4,1.4,0.045,31,106,0.9914,2.88,0.38,10.8,6
7.4,0.31,0.48,14.2,0.042,62,204,0.9983,3.06,0.59,9.4,5
8.8,0.28,0.45,6,0.022,14,49,0.9934,3.01,0.33,11.1,7
8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,5
8.3,0.14,0.45,1.5,0.039,18,98,0.99215,3.02,0.56,11,6
6.8,0.25,0.34,4.7,0.031,34,134,0.9927,3.21,0.38,10.6,6
8.4,0.35,0.71,12.2,0.046,22,160,0.9982,2.98,0.65,9.4,5
7.1,0.32,0.32,11,0.038,16,66,0.9937,3.24,0.4,11.5,3
6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6
5.9,0.29,0.33,7.4,0.037,58,205,0.99495,3.26,0.41,9.6,5
5.6,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5
5.4,0.59,0.07,7,0.045,36,147,0.9944,3.34,0.57,9.7,6
6.8,0.27,0.26,16.1,0.049,55,196,0.9984,3.15,0.5,9.3,5
8.2,0.345,1,18.2,0.047,55,205,0.99965,2.96,0.43,9.6,5
7.1,0.55,0.13,1.7,0.073,21,165,0.994,2.97,0.58,9.2,6
6.3,0.26,0.21,4,0.03,24,125,0.9915,3.06,0.34,10.7,6
8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5
7.8,0.42,0.26,9.2,0.058,34,199,0.9972,3.14,0.55,9.3,6
6.3,0.34,0.33,4.6,0.034,19,80,0.9917,3.38,0.58,12,7
6.4,0.46,0.08,4.9,0.046,34,144,0.99445,3.1,0.56,10,5
6.1,0.36,0.27,2.1,0.035,16,100,0.9917,3.4,0.71,11.5,7
8.2,0.23,0.4,1.2,0.027,36,121,0.992,3.12,0.38,10.7,6
6.1,0.25,0.24,12.1,0.046,51,172,0.998,3.35,0.45,9.5,5
6.8,0.21,0.27,2.1,0.03,26,139,0.99,3.16,0.61,12.6,7
6.9,0.32,0.26,8.3,0.053,32,180,0.9965,3.25,0.51,9.2,6
5.3,0.32,0.12,6.6,0.043,22,141,0.9937,3.36,0.6,10.4,6
7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,5
6.6,0.16,0.32,1.4,0.035,49,186,0.9906,3.35,0.64,12.4,8
